animal,quantity,body_part_found,date_started,date_closed,source,division,form,status,priority,complaint_type,descriptor_1,descriptor_2,complaint_details,location_type,park_or_facility,property_number,park_district,additional_location_details,council_district_number,site_street_address,site_borough,site_city_zip,lat,lng,complaint_type_confirmed,descriptor_confirmed,resolution_action_updated,resolution_description,time_to_action
Turtle,1,Body Without Head,4/24/2008,4/24/2008,Department of Parks and Recreation,Borough Maintenance Operations Office - Queens,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,PS2 J BROPHY RPTS THAT THERE ARE SOME TURTLES WITH MISSING HEAD.,Park,CAPT TILLY PARK,Q052,8,HIGHLAND AVE OFF 164 STREET,24,"HIGHLAND AVE, UPLAND PKWY, GOTHIC PKWY",QUEENS,JAMAICA 11436,40.7138051,-73.7956131,Animal in a Park,Dead Animal,4/24/2008 15:59:09,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",Closed: No Further Updates
Goat (Unsure),1,Head and Body,4/26/2008,4/30/2009,3-1-1 Call Center,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,a caller stated that in riverside park there is a dead animal. the caller thinks that its a goat with its head cut off.,Park,RIVERSIDE PARK,,,down on the ramp on righthand side. there a box next to the goat,6,,MANHATTAN,NEW YORK 10069,40.7797981,-73.9893241,Animal in a Park,Dead Animal,4/30/2008 15:33:44,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Hens & Pigeons,5,Body Without Head,5/5/2008,5/8/2009,3-1-1 Call Center,Borough Maintenance Operations Office - Brooklyn,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER STATES THERE IS 2 Large HENS THAT ARE HEADLESS AND 3 Pigeons HEADLESS.,Park,FORT GREENE PARK,B032,2,the entrance of myrtle ave and st edwards,35,"MYRTLE AVENUE, CUMBERLAND ST, DEKALB AVE ",BROOKLYN,BROOKLYN 11201,40.6898249,-73.9812036,Animal in a Park,Dead Animal,5/8/2008 16:55:32,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Bird,2,Head and Body,11/14/2008,11/14/2008,3-1-1 Call Center,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER STATES THAT THERE ARE 2 WHITE BIRDS IN A BAG WITH THEIR HEADS CUT OFF,Park,RIVERSIDE PARK - SKATE PARK,M071,14,"CALLER STATES BY 106 ST AND RIVERSIDE DRIVE, LOCATED IN THE WALKING PROMONADE BY A TREE BY THE WALL.",6,WEST 109TH STREET AND RIVERSIDE DRIVE,MANHATTAN,NEW YORK 10023,40.8042197,-73.9686798,Animal in a Park,Dead Animal,11/14/2008 16:50:35,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Turkey or Chicken,1,Body Without Head,3/25/2009,3/25/2009,3-1-1 Call Center,Borough Maintenance Operations Office - Staten Island,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER STATES THAT WHILE WALKING HIS DOG IN THE PARK THEY CAME ACROSS EITHER A DEAD TURKEY OR CHICKEN WITH THE HEAD OFF. THE HEAD IS NOWHERE TO BE FOUND.,Park,CLOVE LAKES PARK - WAR MEMORIAL ICE,R005,1,INSIDE THE PARK BY PINE TREES,49,"VICTORY BOULEVARD, WEST OF CLOVE ROAD",STATEN ISLAND,STATEN ISLAND 10301,40.6184839,-74.1054656,Animal in a Park,Dead Animal,3/25/2009 20:18:02,The condition was determined to be an issue appropriate for handling by an alternate entity. The Department of Parks and Recreation has notified the appropriate resource.,Closed: No Further Updates
"Goat, Rooster and Other animals",2,"Goat's Head & Rib Cage, Other body parts of other animals.",4/18/2009,4/21/2009,3-1-1 Call Center,Borough Maintenance Operations Office - Queens,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,"CALLER STATES: FOUND A GOATS HEAD, A BLACK ROOSTER AND SOME OTHER BODY PARTS OF ANIMALS. THERE IS ALSO A BIG RIB CAGE OF THE GOATS WITHOUT ANY MEAT ON IT.",Park,FOREST PARK,,,ENTER PARK LANE SOUTH AND MYRTLE. ITS ON THE ORANGE TRAIL AND CALLER DOESN'T MIND TO COME OUT AND SHOW THE EVIDENCE.,30,,QUEENS,RICHMOND HILL 11418,40.6998251,-73.8312457,Animal in a Park,Dead Animal,4/21/2009 9:34:18,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Roosters,2,Head and Body,4/27/2009,4/28/2009,3-1-1 Call Center,Borough Maintenance Operations Office - Queens,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER'S REQUESTING DEAD ROOSTERS BE REMOVED ON THE PUBLIC BEACH WITH THEIR HEAD CUT OFF. CALLER STATES ITS ABOUT TWO OR THREE ROSTERS DEAD.,Park,DR. CHARLES R. DREW MEMORIAL PARK,Q220C,12,ON THE BEACH AREA BY 95 STREET. CALLER STATES DPR COULD TAKE WALK ON BEACH BEAR SAND TO LOCATE DEAD ANIMAL,28,"VAN WYCK EXPRESSWAY, 116TH AVENUE, 140TH",QUEENS,JAMAICA 11436,40.6718171,-73.7977928,Animal in a Park,Dead Animal,4/28/2009 12:20:48,No action was taken because the Department of Parks and Recreation determined that the issue reported was out of its jurisdiction.,Closed: No Further Updates
Chicken,1,Body Without Head,6/10/2009,6/10/2009,3-1-1 Call Center,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,"CALLER STATES THAT THERE IS A DEAD, HEADLESS CHICKEN INSIDE THE PARK. THERE IS A HEINEKEN BOX THERE THAT WAS PROBABLY USED TO TRANSPORT THE CHICKEN.",Park,INWOOD HILL PARK,M042,12,"ENTRANCE OF THE PARK ACROSS FROM 115 PAYSON AVE WALK UP THE PATH TO THE FIRST STAIRCASE ON THE LEFT, CHICKENS IS ON THE BOTTOM OF THE STAIRS.",7,"DYCKMAN STREET, HUDSON RIVER, HARLEM",MANHATTAN,NEW YORK 10034,40.8721452,-73.9212858,Animal in a Park,Dead Animal,6/10/2009 20:57:28,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Goat,1,Body Without Head,9/28/2009,9/29/2009,3-1-1 Call Center,Borough Maintenance Operations Office - Bronx,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,"DEAD GOAT ON A BEACH, HEADLESS",Park,PELHAM BAY PARK,,,"CITY ISLAND BRIDGE ON PELHAM BAY SIDE OF BRIDGE, SOUTH SIDE",13,,BRONX,BRONX 10464,40.8615,-73.7972,Animal in a Park,Dead Animal,9/29/2009 15:25:13,"Upon inspection the reported condition was not found, and, therefore, no action was taken.",Closed: No Further Updates
Chicken,2,Not specified,10/22/2009,10/26/2009,3-1-1 Call Center,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER IS REPORTING 2-3 DECAPITATED CHICKEN IN A PARK NEXT TO THE SIDEWALK BUT ON THE PROPERTY LINE OF THE PARK.,Park,FORT TYRON PARK,,,ON THE CABRINI BLVD SIDE OF PARK,7,,MANHATTAN,NEW YORK 10040,40.862009,-73.9323081,Animal in a Park,Dead Animal,10/26/2009 16:04:17,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Bird,1,Body Without Head,10/30/2009,11/5/2009,3-1-1 Call Center,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER STATES THAT THERE IS A BEHEADED BIRD INSIDE THE PARK. CALLER SAYS THAT IT IS BIG BIRD,Park,RIVERSIDE PARK - RIVER RUN PLAYGROUND,M071-08,114,CALLER STATES THAT THE LOCATION IS DIAGONALLY ACROSS FROM 86 RIVERSIDE DRIVE. IN THE MIDDLE OF THE SIDEWALK THAT GOES DOWN THE STAIRS TO THE PARK AREA,6,WEST 83RD STREET AND RIVERSIDE DRIVE,MANHATTAN,NEW YORK 10023,40.7877029,-73.9811609,Animal in a Park,Dead Animal,11/5/2009 16:09:36,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Pigeon & Rooster,5,Body Without Head,11/18/2009,11/18/2009,3-1-1 Call Center,Borough Maintenance Operations Office - Brooklyn,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER STATES THAT THERE ARE 5 PIGEON AND ROOSTER IN THE PARK WITH NO HEAD. CALLER WOULD LIKE IT TO BE REMOVED INSIDE THE PLAYGROUND TOWARD WHERE THE SWINGS ARE LOCATED AT THE LEFT SIDE.,Park,WEST PLAYGROUND,B252,13,IN THE PLAYGROUND,47,AVENUE Z AND WEST 1ST STREET,BROOKLYN,BROOKLYN 11223,40.5862137,-73.970355,Animal in a Park,Dead Animal,11/18/2009 18:35:15,The condition was determined to be an issue appropriate for handling by an alternate entity. The Department of Parks and Recreation has notified the appropriate resource.,Closed: No Further Updates
Goat & Chicken,2,"Goat's Head, Whole Chicken",2/8/2010,2/9/2010,Department of Parks and Recreation,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,PRM D. Mercado rpts there is a goat's head and a dead chicken found at this location. NYPD is en route. Pics have been taken. M&O will remove it.,Park,HIGHBRIDGE PARK,M037,12,190th street & Amsterdam,7,WEST 155TH AND DYCKMAN STREETS,MANHATTAN,NEW YORK 10039,40.8681918,-73.9310449,Animal in a Park,Dead Animal,2/9/2010 15:14:54,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Pigeon,1,Head and Body,2/18/2010,2/18/2010,Department of Parks and Recreation,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,"INWOOD HILL PK (PAYSON AVE & 207 ST)-2/18/2010-1029. As per Sgt. K. Clifford, a decapitated pigeon was found nailed to a tree, located on the right hand side of the staircase. NYPD has been notified. Pics taken.",Park,INWOOD HILL PARK,M042,12,Payson Ave & 207 St,7,"DYCKMAN STREET, HUDSON RIVER, HARLEM",MANHATTAN,NEW YORK 10034,40.8721452,-73.9212858,Animal in a Park,Dead Animal,2/18/2010 11:16:07,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Cat,1,Head and Body,3/28/2010,3/30/2010,Department of Parks and Recreation,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,Sgt. Clifford rpts decapitated cat found in Inwood Hill Park,Park,INWOOD HILL PARK,M042,12,204 Street & Payson Street,7,"DYCKMAN STREET, HUDSON RIVER, HARLEM",MANHATTAN,NEW YORK 10034,40.8721452,-73.9212858,Animal in a Park,Dead Animal,3/30/2010 11:56:10,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Not specified,1,Body Without Head,3/28/2010,3/30/2010,3-1-1 Call Center,Borough Maintenance Operations Office - Brooklyn,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER STATES THAT THERE IS A DEAD ANIMAL IN THE PARK. IT IS A LARGE ANIMAL. THE ANIMAL IS MISSING A HEAD. IT HAS WHITISH FUR. IT IS COVERED PARTIALLY BY TREE BRANCHES.,Park,PROSPECT PARK - OCEAN AVENUE,B073,19,THE ANIMAL IS COUPLE BLOCKS SOUTH FROM LINCOLN ROAD. IT IS RIGHT UNDER A HUGE TREE THAT FELL AND WAS CHOPPED UP BY PARKS WORKERS. IT ALSO CLOSE TO WOLLMAN'S RINK AND A KID'S PLAYGROUND (IMAGINATION PLAYGROUND) ABOUT 100 FEET.,39,"PERGOLA, LINCOLN ROAD, EAST LAKE DRIVE",BROOKLYN,BROOKLYN 11215,40.6536364,-73.9976433,Animal in a Park,Dead Animal,3/30/2010 15:51:18,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Not specified,3,Not specified,4/7/2010,4/8/2010,3-1-1 Call Center,Borough Maintenance Operations Office - Queens,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CLR STATES THAT THERE ARE THREE (3) DISCARDED ANIMAL HEADS IN THE PARK,Park,KISSENA CORRIDOR PARK,,,"WALK FROM COLDEN ST LEADING TOWARDS MAINT ST NEXT TO DEPRESSION WATER. THERE IS A BASEBALL COURT IN RIGHT SIDE, BASKETBALL FIELD IN THE LEFT SIDE.",20,,QUEENS,FLUSHING 11355,40.7473524,-73.820586,Animal in a Park,Dead Animal,4/7/2010 23:59:37,The Service Request submitted did not have sufficient location or complaint information for the agency to respond.,Closed: No Further Updates
Bird,2,Head and Body,4/11/2010,4/16/2010,3-1-1 Call Center,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,TWO LARGE WHITE BIRDS W/ HEADS CHOPPED OFF,Park,RIVERSIDE PARK,M071,14,ON STONE WALL BTWN 72ND ST & 73RD ST,6,"RIVERSIDE DRIVE TO HUDSON RIVER, WEST",MANHATTAN,NEW YORK 10023,40.7769059,-73.9800645,Animal in a Park,Dead Animal,4/16/2010 17:01:27,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Chicken,4,Head and Body,6/24/2010,6/24/2010,Department of Parks and Recreation,Borough Maintenance Operations Office - Brooklyn,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,BK-FORT GREENE PK (20 FT FROM VISITORS CENTER)-6/24/2010-1612: UPR A. Marsala rpts the carcass of four decapitated chickens were found at this location. The rangers disposed of the remains.,Park,FORT GREENE PARK,B032,2,20 FROM VISITOR CENTER,35,"MYRTLE AVENUE, CUMBERLAND STREET",BROOKLYN,BROOKLYN 11201,40.6962594,-73.9744475,Animal in a Park,Dead Animal,6/24/2010 16:57:56,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Pigeon,2,Head and Body,6/30/2010,6/30/2010,Department of Parks and Recreation,Department of Parks and Recreation,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CSA Ranger Sarah Hackney rpts that two decapitated pigeons were discovered at the above site Pigeons were disposed by M&O Pictures were taken. Rpt bled. RIZ,Park,FOREST PARK,Q015,16,FOREST PK DRIVE & OAK RIDGE,30,"MYRTLE AVENUE, UNION TURNPIKE, PARK LANE",QUEENS,RIDGEWOOD 11385,40.6974069,-73.8538296,Animal in a Park,Dead Animal,6/30/2010 12:52:05,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Chicken,1,Body Without Head,2/7/2011,2/9/2011,3-1-1 Call Center,Borough Maintenance Operations Office - Brooklyn,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,DEAD HEADLESS CHICKEN INSIDE A BROWN GROCERY STORE PLASTIC BAG.,Park,FORT GREENE PARK,B032,2,"INSIDE THE FENCED AREA, IN FRONT OF THE TENIS COURT ACROSS FROM THE SOUTH PORTLAND AND DEKALB ENTRANCE.",35,"MYRTLE AVENUE, CUMBERLAND STREET",BROOKLYN,BROOKLYN 11201,40.6962594,-73.9744475,Animal in a Park,Dead Animal,2/9/2011 11:20:01,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Chicken,4,Body Without Head,3/10/2011,3/15/2011,3-1-1 Call Center,Borough Maintenance Operations Office - Bronx,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,"CALLER STATES THAT THERE IS A HINDU POPULATION WHERE THE SET UP BLACK AND WHITE FLAGS LEAVING A YELLOW CLOTH THEIR SCARIFIED ANIMAL SUCH AS GOAT LEAVING JUST THE HEADS AND THROWING THE BODIES INTO TO WATER FRONT. FOUR BODIES DEAD CHICKENS, HEAD MISSING, THIS CEREMONY IS HELD ON FEBRUARY 25. AFTER THE CEREMONY EVERYTHING IS LEFT AT THE LOCATION.",Park,FERRY POINT PARK,X126,10,on the north section of the park along the water front,18,"WESTCHESTER COURT, SCHLEY AND EMERSON",BRONX,BRONX 10465,40.8262186,-73.8242621,Animal in a Park,Dead Animal,3/15/2011 9:16:28,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
"Birds (Eagle, Hawk, Pigeon)",10,Not specified,4/25/2011,4/26/2011,3-1-1 Call Center,Borough Maintenance Operations Office - Bronx,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,"CALLER SAYS THAT THERE WAS SOME RITUAL IN A PARK WHERE A LOT OF BIRDS WAS DECAPITATED. THERE ARE AT LEAST 10 BIRDS SOME OF THE BIRDS LOOKED LIKE AN EAGLE, AN HAWK AND PIGEONS",Park,VETERAN'S MEMORIAL PARK,,,VETERANS MEMORIAL PARK THE BIRDS ARE RIGHT BEFORE THE BASEBALL DIAMOND,13,,BRONX,BRONX 10465,40.825069,-73.815498,Animal in a Park,Dead Animal,4/26/2011 13:50:55,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Goat,1,Head,10/4/2011,10/4/2011,3-1-1 Call Center,Borough Maintenance Operations Office - Brooklyn,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,"DEAD GOAT IN THE PATH OF PROSPECT PARK, RESIDENT CLAIMS THERE IS A DECAPITATED HEAD OF THE ANIMAL LYING IN THE PATHWAY OF THE PARK.",Park,PROSPECT PARK - GRAND ARMY PLAZA,B073,19,ANIMAL IS LOCATED NORTHEND OF THE PARK AT GRAND ARMY PLAZA ON THE EAST PATHWAY,39,"PLAZA STREET EAST, PLAZA STREET WEST",BROOKLYN,BROOKLYN 11215,40.6751451,-73.9693182,Animal in a Park,Dead Animal,10/4/2011 13:06:35,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Dog,1,Head,2/20/2012,2/21/2012,3-1-1 Call Center,Borough Maintenance Operations Office - Brooklyn,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,CALLER STATES THAT SHE IS BROOKLYN RESIDENT WHO OFTEN WALKS HER DOG AROUND NEARBY PARK VICINITY APPROX 10:30 AM AND DISCOVERED A SEVERED DOGS HEAD ON SW CORNER-44 ST BET 5-6 AVE BY A ROW OF TREES BY THE CONSTRUCTION SITE. THE HEAD WAS SMALL DOG HAD GOLDEN BROWN FUR AND WAS RELATIVELY SMALL IN SIZE. THERE WAS DRIED UP BLOOD AT AREA. (THERE WAS BLUNT SEPARATION AT BASE OF JAW). CALLER FOUND DEPT OF PARKS EMPLOYEES AND NOTIFIED OF DISCOVERY THERE WERE NO OTHER PEDESTRIANS AROUND AND PARK HAD PEOPLE ENJOYING THE WEATHER.,Park,SUNSET PARK,B087,7,BY GREENERY/TREES NEXT TO NEW CONSTRUCTION SITE - BUILDING,38,"41ST TO 44TH STREETS, 5TH TO 7TH AVENUES",BROOKLYN,BROOKLYN 11232,40.6560436,-74.0079781,Animal in a Park,Dead Animal,2/21/2012 11:35:50,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Chicken,10,Body Without Head,4/28/2012,4/28/2012,3-1-1 Call Center,Borough Maintenance Operations Office - Queens,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,ABOUT 10 HEADLESS CHICKENS LEFT ON THE TRAIL,Park,ALLEY POND PARK,Q001,13,THE TRAIL IS PAST THE WEATHER STATION ON THE LEFT SIDE BEFORE THE ADVENTURE COURSE,23,LITTLE NECK BAY TO SPRING BOULEVARD,QUEENS,BELLEROSE 11426,40.7349144,-73.7213063,Animal in a Park,Dead Animal,4/28/2012 14:45:11,,Closed: No Further Updates
Chicken,12,Body Without Head,4/29/2012,4/30/2012,3-1-1 Call Center,Borough Maintenance Operations Office - Queens,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,12 BEHEADED CHICKENS IN THE PARK,Park,ALLEY POND PARK,Q001,13,"ABOUT 100-150 FT INTO THE PARK. AT 69-82 230TH STREET QUEENS, OAKLAND GARDEN 11364",23,LITTLE NECK BAY TO SPRING BOULEVARD,QUEENS,BELLEROSE 11426,40.7349144,-73.7213063,Animal in a Park,Dead Animal,4/30/2012 9:17:24,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Roosters,2,Body Without Head,1/30/2013,1/31/2013,,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,2 headless roosters,Park,INWOOD HILL PARK,MO42,12,"Dead animals are just off the embankment of the path leading into the park from Payson Avenue, the entrance closes to Dyckman. Animals are located where the rock wall is missing as the path curves up the hill into the woods.",7,"DYCKMAN STREET, HUDSON RIVER, HARLEM",MANHATTAN,NEW YORK 10034,40.8721452,-73.9212858,Animal in a Park,Dead Animal,1/31/2013 15:11:26,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Goat,1,Head,2/7/2013,2/16/2015,3-1-1 Call Center,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,"Caller states that as she was walking her dog in the park, she spotted what appears to be a goat head.  If you are on the path heading around the (museum) cloistures, heading North on the left side of the museum at the point where the path forks, (left or right) it is located in the V of the fork.",Park,FORT TRYON PARK-ANNE LOFTUS,M029-02,112,"BROADWAY AND DYCKMAN STREET. If you are on the path heading around the (museum) cloistures, heading North on the left side of the museum at the point where the path forks, (left or right) it is located in the V of the fork. ",7,BROADWAY AND DYCKMAN STREET,MANHATTAN,NEW YORK 10033,40.8655743,-73.9272707,Animal in a Park,Dead Animal,12/16/2013 11:57:18,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
Goat,1,Head and Body,3/20/2013,3/25/2013,3-1-1 Call Center,Borough Maintenance Operations Office - Manhattan,DPR General Intake,Closed,Normal,Animal in a Park,Dead Animal,N/A,THERE IS A DEAD GOAT IN PARK. THE HEAD IS HANGING FROM A TREE AND THE BODY IS ON THE GROUND IN THE SNOW.,Park,HIGHBRIDGE PARK - FORT GEORGE,M037-09,112A,"BEHIND THE FENCE BY CHILDREN'S SWING, NEAR THE TRAIL",7,FORT GEORGE AND SAINT NICHOLAS AVENUES,MANHATTAN,NEW YORK 10039,40.8567322,-73.9283922,Animal in a Park,Dead Animal,3/5/2013 16:28:37,The Department of Parks and Recreation has completed the requested work order and corrected the problem.,Closed: No Further Updates
