,Country,City,AccentCity,Region,Population,Latitude,Longitude
92673,al,erseke,Ersekë,46.0,7890.0,40.3377778,20.6788889
92787,al,fier,Fier,44.0,59719.0,40.7238889,19.5561111
92814,al,fierze,Fierzë,47.0,742.0,42.2647222,20.026944399999998
92816,al,fierze,Fierzë,49.0,742.0,42.2605556,20.0169444
93000,al,fushe-arrez,Fushë-Arrëz,49.0,2438.0,42.0622222,20.0166667
93033,al,fushe-kruje,Fushë-Krujë,42.0,10458.0,41.478333299999996,19.7177778
93406,al,gjirokaster,Gjirokastër,45.0,23437.0,40.0758333,20.1388889
93886,al,gramsh,Gramsh,43.0,11556.0,40.8697222,20.1844444
94466,al,himare,Himarë,51.0,4596.0,40.1016667,19.7447222
95085,al,kamze,Kamzë,50.0,11026.0,41.381666700000004,19.7602778
95321,al,kavaje,Kavajë,50.0,29354.0,41.1855556,19.5569444
95354,al,kelcyre,Këlcyrë,45.0,2486.0,40.313055600000006,20.1894444
95415,al,kerrabe,Kërrabë,50.0,1177.0,41.2155556,19.9713889
95508,al,klos,Klos,41.0,683.0,41.484444399999994,20.1080556
95750,al,konispol,Konispol,51.0,1349.0,39.658888899999994,20.181388899999998
95770,al,koplik,Koplik,49.0,4078.0,42.2136111,19.4363889
95790,al,korce,Korçë,46.0,58259.0,40.6186111,20.7808333
96022,al,kraste,Krastë,41.0,1168.0,41.4225,20.205
96121,al,kruje,Krujë,42.0,21286.0,41.5091667,19.792777800000003
96211,al,kucove,Kuçovë,40.0,18166.0,40.800277799999996,19.9166667
96230,al,kukes,Kukës,47.0,17972.0,42.076944399999995,20.421944399999997
96353,al,kurbnesh,Kurbnesh,48.0,1429.0,41.7797222,20.0836111
96491,al,lac,Laç,48.0,24825.0,41.6355556,19.7130556
96796,al,leskovik,Leskovik,46.0,2655.0,40.15138889999999,20.597222199999997
96846,al,lezhe,Lezhë,48.0,18695.0,41.7836111,19.6436111
96864,al,libohove,Libohovë,45.0,3651.0,40.031111100000004,20.2630556
96884,al,librazhd,Librazhd,43.0,12691.0,41.179444399999994,20.315
97300,al,lushnje,Lushnjë,44.0,41423.0,40.9419444,19.705
97474,al,maliq,Maliq,46.0,3735.0,40.7058333,20.699722199999997
97542,al,mamurras,Mamurras,48.0,8282.0,41.5775,19.692222199999996
97930,al,memaliaj,Memaliaj,45.0,4951.0,40.345833299999995,19.9791667
98152,al,milot,Milot,48.0,2157.0,41.6802778,19.7244444
98957,al,orikum,Orikum,51.0,2604.0,40.3252778,19.4713889
99219,al,patos,Patos,44.0,22679.0,40.6833333,19.6194444
99291,al,peqin,Peqin,43.0,7513.0,41.046111100000005,19.7511111
99333,al,permet,Përmet,45.0,10686.0,40.233611100000005,20.3516667
99358,al,perrenjas,Përrenjas,43.0,4015.0,41.0730556,20.548888899999998
99397,al,peshkopi,Peshkopi,41.0,15261.0,41.685,20.4288889
99756,al,pogradec,Pogradec,46.0,25758.0,40.9025,20.6525
99772,al,polican,Poliçan,40.0,10663.0,40.6122222,20.098055600000002
100050,al,puke,Pukë,49.0,6495.0,42.044444399999996,19.8997222
100707,al,roskovec,Roskovec,44.0,6657.0,40.7375,19.702222199999998
100838,al,rreshen,Rrëshen,48.0,10064.0,41.7675,19.875555600000002
100893,al,rrogozhine,Rrogozhinë,50.0,5620.0,41.0763889,19.665277800000002
100947,al,rubik,Rubik,48.0,2332.0,41.77444439999999,19.7861111
101118,al,sarande,Sarandë,51.0,15147.0,39.875555600000006,20.0052778
101252,al,selenice,Selenicë,51.0,6912.0,40.53055560000001,19.6358333
101580,al,shengjin,Shëngjin,48.0,2698.0,41.8136111,19.5938889
101733,al,shijak,Shijak,42.0,14138.0,41.345555600000004,19.567222199999996
101840,al,shkoder,Shkodër,49.0,89102.0,42.0675,19.5130556
102779,al,tepelene,Tepelenë,45.0,11955.0,40.2958333,20.0191667
102871,al,tirana,Tirana,50.0,374801.0,41.3275,19.8188889
103217,al,ulze,Ulzë,41.0,600.0,41.6827778,19.893333300000002
103879,al,vlore,Vlorë,51.0,89528.0,40.466666700000005,19.4897222
103926,al,vore,Vorë,50.0,4973.0,41.3908333,19.655
104639,am,abovyan,Abovyan,2.0,1379.0,40.048888899999994,44.5475
104640,am,abovyan,Abovyan,5.0,35677.0,40.2691667,44.624444399999994
104658,am,agarakadzor,Agarakadzor,10.0,1195.0,39.736388899999994,45.345555600000004
104659,am,agarak,Agarak,1.0,1575.0,40.3077778,44.2847222
104660,am,agarak,Agarak,6.0,1278.0,41.0105556,44.4675
104661,am,agarak,Agarak,8.0,4707.0,39.203888899999995,46.5472222
104679,am,aghavnadzor,Aghavnadzor,5.0,1252.0,40.584166700000004,44.6913889
104680,am,aghavnadzor,Aghavnadzor,10.0,1925.0,39.7836111,45.228055600000005
104681,am,aghavnatun,Aghavnatun,1.0,2913.0,40.233611100000005,44.251388899999995
104761,am,akhuryan,Akhuryan,7.0,7672.0,40.781388899999996,43.8963889
104763,am,aknalich,Aknalich,3.0,2654.0,40.143055600000004,44.1483333
104764,am,aknashen,Aknashen,3.0,1362.0,40.095833299999995,44.28611110000001
104781,am,alaverdi,Alaverdi,6.0,13186.0,41.1305556,44.6519444
104812,am,amasia,Amasia,7.0,1675.0,40.9466667,43.781388899999996
104815,am,amberd,Amberd,1.0,1267.0,40.2416667,44.2727778
104833,am,anushavan,Anushavan,7.0,1532.0,40.64194439999999,43.9822222
104834,am,apaga,Apaga,3.0,1634.0,40.0961111,44.2511111
104835,am,aparan,Aparan,1.0,5670.0,40.5961111,44.3536111
104845,am,aragats,Aragats,1.0,2952.0,40.3330556,43.658055600000004
104846,am,aragats,Aragats,3.0,5092.0,40.2183333,44.2327778
104849,am,aragyukh,Aragyukh,5.0,999.0,40.4025,44.54361110000001
104857,am,aramus,Aramus,5.0,3214.0,40.2511111,44.66305560000001
104858,am,arapi,Arapi,7.0,1738.0,40.7797222,43.8005556
104859,am,ararat,Ararat,2.0,6554.0,39.8094444,44.7144444
104863,am,arazap,Arazap,3.0,1373.0,40.042777799999996,44.1458333
104867,am,archis,Archis,9.0,1235.0,41.1641667,44.8725
104875,am,areni,Areni,10.0,1718.0,39.720833299999995,45.1838889
104876,am,arevabuyr,Arevabuyr,2.0,1041.0,40.03611110000001,44.468888899999996
104877,am,arevashat,Arevashat,3.0,1403.0,40.1416667,44.3708333
104879,am,arevashogh,Arevashogh,6.0,2435.0,40.861388899999994,44.2727778
104882,am,arevik,Arevik,3.0,2455.0,40.10055560000001,44.0969444
104883,am,arevik,Arevik,7.0,1522.0,40.7361111,43.8927778
104885,am,arevshat,Arevshat,2.0,2089.0,40.0391667,44.5416667
