Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Costa Rica,CRI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.670898766,6.201086226,4.20282767,13.20314479,43.71322979,63.40367378,51.71385492,36.39522489,36.58186828,44.81794394,35.7148192,38.02692246,44.71990369,45.37415403,39.42621181,44.18050683,39.97234195,40.84476379,39.61323371,43.32211704,,
Caribbean small states,CSS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.378180628,3.922756071,3.744247459,2.572966784,2.207714371,11.57607625,4.904543161,5.638271662,4.971347186,3.510922493,1.919520278,2.139552689,2.703140474,2.432345902,2.157572369,1.124059546,1.126941636,1.318041195,,,,,
Cuba,CUB,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.00186427,21.4300928,29.55713005,34.64332591,17.34534628,11.82726371,18.3428365,35.34721092,,,,,,,,,
Curacao,CUW,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.620814415,4.444328745,4.087831681,4.129772398,3.158245834,3.43399583,4.211747811,5.29925584,2.944598049,3.212854242,3.152078682,1.673148136,2.028403785,1.794311775,3.893275526,8.578207245,16.97179651,22.73060398,29.37188247,30.44966444,30.85646915,36.89682599,27.29082761,13.00137292,7.152688492,,
Czech Republic,CZE,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.163677452,4.65321627,6.025683604,7.533083244,8.059601342,8.516230117,8.691232519,8.486691671,10.05276139,14.54944751,13.52488308,13.19135196,12.95303787,14.3196,13.23687604,13.55655373,14.56374762,15.30313609,16.27967942,16.08169864,14.7012697,,
Germany,DEU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.75252746,12.37895986,11.99635284,13.09941007,12.66390554,13.42861136,13.63742308,13.7125196,13.76754279,14.64727685,15.17789508,16.48760158,18.62581366,18.31637506,17.45204025,16.90097477,17.81653651,17.42259934,17.13589881,13.99489116,13.30471851,15.25874061,15.25099045,14.96353856,15.80224756,16.07819232,,
Djibouti,DJI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0815999,,,,,,
Dominica,DMA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.782966567,0.807039077,1.706505318,2.512157287,6.097494441,,4.35942189,6.534681264,6.389829183,7.691907053,7.217966546,7.904899179,7.482304577,7.741284235,6.181840166,0.449232162,0,0.014970181,,8.834788722,,,
Denmark,DNK,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.45060886,14.61325008,15.53672912,15.04018113,14.83451181,15.15305908,16.78320047,15.99296514,16.88849667,18.42618596,18.22871043,19.9853287,21.43657116,20.82227807,22.45632012,20.19696105,20.31240864,19.60682332,18.44724634,16.97934924,15.57597264,17.5452456,14.01283839,13.76167876,14.3008132,14.25134024,,
Dominican Republic,DOM,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.259036131,0.329375045,,,,1.316602965,4.056319226,3.738553619,4.018963859,8.403702123,5.655149206,10.64519806,3.738961726,2.506887221,2.349678524,2.226337874,2.670909823,,,
Algeria,DZA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.267021123,1.621050043,0.816186621,0.482299465,0.367838705,1.170936851,0.89225619,4.442396541,4.166833432,0.615530032,1.058630887,2.286790119,1.046032703,1.484616118,1.621560789,0.716136566,0.656696365,0.625863298,0.504620349,0.161139885,0.130478689,0.192235191,,
East Asia & Pacific (developing only),EAP,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.15491506,19.12437221,20.0200193,22.108393,25.87278021,27.2900706,29.27574494,31.57769822,32.17516453,31.06219001,32.01559316,32.85703,33.44426013,32.98746982,32.22120629,29.14918101,26.39319794,28.44771664,27.51622532,25.55076647,26.0748049,26.73306097,,
East Asia & Pacific (all income levels),EAS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.51431992,22.22267509,22.7474935,21.42632043,22.82561979,24.34645739,26.67066724,27.39397102,28.47971594,29.18071274,31.10707989,33.25339307,30.89952672,30.73338867,30.13529168,30.82734123,30.71611442,30.36456747,27.08477695,25.76741746,27.3019246,26.08390374,24.12852404,24.60586454,25.08708167,,
Europe & Central Asia (developing only),ECA,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.736210968,3.188189755,3.31133503,4.48497849,5.002725199,4.567663689,4.11365875,4.139593757,4.059481244,3.685908907,5.302461171,5.254402108,5.867432819,7.245040837,8.479457233,7.195505681,8.063079401,9.298722695,,
Europe & Central Asia (all income levels),ECS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.14441272,14.25755756,14.107326,14.92957948,14.65862922,15.80473345,15.76549856,16.18463103,16.18425086,17.09608377,18.02410745,18.91067977,20.62752426,20.08113259,18.98849074,17.73465691,17.27945994,17.3191486,17.61941133,13.6802153,13.28105968,15.0221463,15.13910787,14.65249412,15.16577185,14.59387688,,
Ecuador,ECU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.319342187,0.948887633,3.409286657,3.553065922,3.624780618,5.984920671,4.334294002,4.466851313,4.488992277,6.322603832,5.616505319,4.596215134,6.637223456,5.984557665,7.361716768,7.658579893,7.874568789,6.167897261,4.181276173,4.019531247,8.427203622,3.228655116,2.478433581,4.356496728,,
"Egypt, Arab Rep.",EGY,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.408099015,0.535078464,0.64408415,0.274283278,0.222071782,0.266107648,0.309977486,0.903013999,0.776960676,0.532870974,0.576914413,0.40261152,0.553999986,0.190126405,0.971248545,0.835874212,0.876451032,0.951629975,0.583528355,0.51818645,,
Euro area,EMU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04601199,12.4447907,12.60223825,13.65613423,13.70134431,14.91949601,14.85938941,15.15362665,15.55679476,16.49084067,17.4900521,18.13078501,20.02298642,19.30816784,17.64744871,17.05468342,17.03957714,17.14488741,16.73842217,13.77066627,13.28203564,14.83317464,14.97344565,14.47105284,15.11533145,15.84515313,,
Eritrea,ERI,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,18.21388577,,,,,,,,,,,,
Spain,ESP,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.803003036,6.906918538,6.717627934,7.809727511,7.445371449,8.309750461,8.401850844,7.271118933,7.604058764,7.008844654,6.957352483,7.865609384,7.986523656,7.765300974,7.216591247,7.489004231,7.25923021,7.261086496,6.382451285,5.107331614,5.305988783,6.231276919,6.357351118,6.467231061,6.992752484,7.666208168,,
Estonia,EST,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.19899916,8.848114633,9.131262925,11.69820107,13.49890414,29.9304493,19.28104368,11.86431239,12.65710496,13.99565801,14.66002177,12.62826088,5.801621676,5.401508192,5.679785009,9.265320112,13.38765176,10.75136222,10.50099872,,
Ethiopia,ETH,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.317521354,,0.336564552,0.212903749,0.190136731,0.132223949,0.133010542,0.126402978,0.213182419,16.32191221,1.452236455,0.425913751,2.525616499,2.624200245,3.089190464,2.737154038,2.014438186,2.446001195,2.365517374,,
European Union,EUU,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.04795313,14.43464369,14.28451424,15.23211811,14.86869389,16.10378409,16.05322675,16.44622541,16.82122939,17.88884703,18.78339516,19.51887615,21.41661564,20.78476957,19.28102976,17.93238782,17.74631273,18.15909187,18.53807461,14.03674106,13.63862114,15.2110653,15.37104855,14.96525312,15.43734223,14.33472254,,
Fragile and conflict affected situations,FCS,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finland,FIN,High-technology exports (% of manufactured exports),TX.VAL.TECH.MF.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38730854,6.904636359,7.549498464,7.211202179,9.14080867,11.14917958,13.10950614,14.69676924,16.33530545,19.2186763,21.99619486,23.79754292,27.36104387,24.35746004,24.14918979,23.74180132,20.92505493,25.06426909,22.30832829,17.97838785,17.20822721,13.95842055,10.9405747,9.27214927,8.545670893,7.214471688,,
