Terrain	<a href="http://www.google.com">Stamen</a>	http://tile.stamen.com/terrain/{z}/{x}/{y}.jpg
Watercolor	Stamen	http://tile.stamen.com/watercolor/{z}/{x}/{y}.jpg
Toner	Stamen	http://tile.stamen.com/toner/{z}/{x}/{y}.png
