person_a,person_b,interaction_type,page_no,edition,Who Did This Work?,Notes
john o'connell,dedalus,"5,3",Hades (106-07),"Vintage, 1990",(RJA),
john o'connell,lambert,"4,3",Hades (107),"Vintage, 1990",(RJA),
john o'connell,john henry menton,"4,3",Hades (107),"Vintage, 1990",(RJA),
john o'connell,corny kelleher,"6,3",Hades (107),"Vintage, 1990",(RJA),
cunningham ,hynes,"6,3",Hades (107),"Vintage, 1990",(RJA),
bloom,o'connell,2,Hades (107),"Vintage, 1990",(RJA),
bloom,molly,1,Hades (107),"Vintage, 1990",(RJA),
bloom,martha,1,Hades (107),"Vintage, 1990",(RJA),
bloom,molly,1,Hades (108),"Vintage, 1990",(RJA),
john o'connell,corny kelleher,"6,3",Hades (109),"Vintage, 1990",(RJA),
bloom,lanky fellow in the macintosh,2,Hades (109),"Vintage, 1990",(RJA),
bloom,dignam,1,Hades (110),"Vintage, 1990",(RJA),
bloom,ned lambert,2,Hades (110),"Vintage, 1990",(RJA),
bloom ,john o'connell,2,Hades (110),"Vintage, 1990",(RJA),
bloom,boy by brady's cottages,2,"Lotus Eaters (1st 10 pages, to ""Wake this time next year."" ",Project Gutenberg E-book,Regina Higgins,
bloom,girl with eczema,2,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,boy by brady's cottages,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,corny kelleher,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,tom kernan,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,vance,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,"""she"" (molly?)",1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,postmistress,3,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,tweedy,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,mccoy,3,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
mccoy,bloom,3,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,woman w/man outside grosvenor,2,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
mccoy,bloom,3,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,doran lyons,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,holohan (hoppy),1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
mccoy,bloom,3,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,woman w/man outside grosvenor,2,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,mccoy,3,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
mccoy,bloom,3,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,woman w/man outside grosvenor,2,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,girl in eustace street hallway,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,girl's friend,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,woman w/man outside grosvenor,2,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,mccoy,3,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
mccoy,bloom,3,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,molly ,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,blazes boylan (although not by name),1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
mccoy,bloom,3,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,mccoy,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,mccoy's wife,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,mrs. bandmann palmer,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,papa,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,kate‰Ê bateman,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,papa,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,mccoy,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,"""her"" molly? martha?",1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,cabbies,2,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,child at marbles,2,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,mrs. ellis ,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,martha (by letter),3,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
martha,bloom (by letter),3,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,martha,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,molly ,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,two sluts in the coombe,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,martha,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,two sluts in the coombe,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,martha,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,mccoy,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,fr. conmee,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,martin cunningham,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,molly ,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,fr. farley,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,"""some sodality""",2,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,woman at midnight mass,1,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,women in church,2,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,priest,2,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,women in church,2,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,"""old fellow""",2,Lotus Eaters,Project Gutenberg E-book,Regina Higgins,
bloom,priest,2,81 (Lotus Eaters),1961 The Modern Library,Steven Hoelscher,"""He saw the priest stow away..."""
bloom,molly,1,81,1961 The Modern Library,Steven Hoelscher,
bloom,martha clifford,1,81,1961 The Modern Library,Steven Hoelscher,"""Dusk and the light behind her. She might be here with a ribbon round her neck and do the other thing all the same on the sly."""
bloom,[james] carey,1,81,1961 The Modern Library,Steven Hoelscher,
bloom,peter carey,1,81,1961 The Modern Library,Steven Hoelscher,
bloom,peter claver,1,81,1961 The Modern Library,Steven Hoelscher,
bloom,denis carey,1,81,1961 The Modern Library,Steven Hoelscher,
bloom,carey's wife and 6 children,1,81,1961 The Modern Library,Steven Hoelscher,
bloom,"""crawthumpers"" [devout people]",1,81,1961 The Modern Library,Steven Hoelscher,
bloom,choir,2,82,1961 The Modern Library,Steven Hoelscher,
bloom,old [joseph] glynn,1,82,1961 The Modern Library,Steven Hoelscher,
bloom,molly,1,82,1961 The Modern Library,Steven Hoelscher,
bloom,father bernard vaughan,1,82,1961 The Modern Library,Steven Hoelscher,
bloom,"""old popes""",1,82,1961 The Modern Library,Steven Hoelscher,
bloom,eunuchs,1,82,1961 The Modern Library,Steven Hoelscher,
bloom,priest,1,82,1961 The Modern Library,Steven Hoelscher,
bloom,massboy,1,82,1961 The Modern Library,Steven Hoelscher,
bloom,"""doctor""",1,83,1961 The Modern Library,Steven Hoelscher,This one and the next one are used as a point of comparison
bloom,"""solicitor""",1,83,1961 The Modern Library,Steven Hoelscher,"And, Bloom is thinking in a categorical sense here"
bloom,"""p.p."" [parish priest]",1,83,1961 The Modern Library,Steven Hoelscher,
bloom,"""two worshippers""",1,83,1961 The Modern Library,Steven Hoelscher,
bloom,[william t. c.] prescott,1,83,1961 The Modern Library,Steven Hoelscher,[Trams: a car of Prescott's dyeworks]
bloom,paddy dignam,1,84,1961 The Modern Library,Steven Hoelscher,"[Bore this funeral affair. O well, poor fellow, it's not his fault.]"
bloom,chemist,"2, 6",84,1961 The Modern Library,Steven Hoelscher,
bloom,molly,1,84,1961 The Modern Library,Steven Hoelscher,
bloom,duke of albany,1,84,1961 The Modern Library,Steven Hoelscher,
bloom,bantam lyon,6,85,1961 The Modern Library,Steven Hoelscher,
bloom ,"""messenger boys""",1,86,1961 The Modern Library,Steven Hoelscher,
bloom,jack fleming,1,86,1961 The Modern Library,Steven Hoelscher,
bloom,mr. hornblower,4,86,1961 The Modern Library,Steven Hoelscher,
bloom,captain buller,1,86,1961 The Modern Library,Steven Hoelscher,
bloom,m'carthy,1,86,1961 The Modern Library,Steven Hoelscher,
mr. power,simon dedalus,4,87 (Hades),1961 The Modern Library,Steven Hoelscher,
bloom,simon dedalus,4,87,1961 The Modern Library,Steven Hoelscher,
martin cunningham,bloom,4,87,1961 The Modern Library,Steven Hoelscher,
martin cunningham,mr. power,4,87,1961 The Modern Library,Steven Hoelscher,
mr. power,blue,4,87,1961 The Modern Library,Steven Hoelscher,
martin cunningham,simon dedalus,4,87,1961 The Modern Library,Steven Hoelscher,
mr. power,simon dedalus,4,87,1961 The Modern Library,Steven Hoelscher,
bloom,"""old woman peeping""",2,87,1961 The Modern Library,Steven Hoelscher,
bloom,"""huggermugger""",2,87,1961 The Modern Library,Steven Hoelscher,
bloom,molly,1,87,1961 The Modern Library,Steven Hoelscher,
bloom,mrs. fleming,1,87,1961 The Modern Library,Steven Hoelscher,
passers,bloom,3,88,1961 The Modern Library,Steven Hoelscher,The passers on the street lift their caps in respect to the funeral procession.
